1;arms_factory;2265.00;9.80;1470.00;2.47;0
1;arms_factory;2249.00;9.80;1465.00;5.13;0
1;arms_factory;2242.00;9.80;1465.00;1.52;0
1;arms_factory;2247.00;9.80;1456.00;4.54;0
1;arms_factory;2243.00;9.80;1469.00;5.74;0
1;arms_factory;2251.00;9.80;1460.00;3.58;0
1;industrial_complex;2250.00;9.80;1464.00;5.14;0
1;industrial_complex;2243.00;9.80;1455.00;1.52;0
1;industrial_complex;2267.00;9.80;1453.00;4.19;0
1;industrial_complex;2267.00;9.80;1452.00;2.03;0
1;industrial_complex;2255.00;9.80;1464.00;5.05;0
1;industrial_complex;2235.00;9.80;1449.00;6.25;0
1;air_base;2237.00;9.80;1448.00;4.09;0
1;bunker;2239.00;9.80;1452.00;0.47;0
1;bunker;2251.00;9.80;1464.00;2.04;0
1;bunker;2235.00;9.80;1458.00;4.70;0
1;bunker;2270.00;9.80;1456.00;2.54;0
1;bunker;2254.00;9.80;1472.00;3.74;0
1;bunker;2268.00;9.90;1443.00;0.48;0
1;bunker;2244.00;9.80;1464.00;3.14;0
1;bunker;2262.00;9.80;1466.00;5.81;0
1;bunker;2245.00;9.80;1452.00;2.54;0
1;bunker;2258.00;9.80;1463.00;5.21;0
1;bunker;2278.00;9.80;1457.00;1.59;0
1;bunker;2257.00;9.80;1469.00;4.25;0
1;bunker;2250.00;9.80;1458.00;0.99;0
1;bunker;2263.00;9.80;1465.00;3.66;0
1;bunker;2252.00;9.80;1449.00;0.04;0
1;bunker;2243.00;9.80;1453.00;2.70;0
1;anti_air_building;2247.00;9.80;1450.00;5.72;0
1;anti_air_building;2235.00;9.80;1455.00;0.64;0
1;anti_air_building;2265.00;9.80;1460.00;4.76;0
1;synthetic_refinery;2269.00;9.80;1458.00;2.61;0
1;fuel_silo;2268.00;9.80;1456.00;2.71;0
1;radar_station;2257.00;9.80;1460.00;1.59;0
1;rocket_site;2250.00;9.80;1468.00;3.21;0
1;nuclear_reactor;2253.00;9.80;1467.00;4.77;0
2;arms_factory;2219.00;9.80;1472.00;1.52;0
2;arms_factory;2219.00;9.80;1473.00;4.54;0
2;arms_factory;2237.00;9.80;1468.00;5.74;0
2;arms_factory;2233.00;9.80;1470.00;3.58;0
2;arms_factory;2235.00;9.80;1471.00;5.14;0
2;arms_factory;2225.00;9.80;1458.00;1.52;0
2;industrial_complex;2229.00;9.80;1459.00;4.19;0
2;industrial_complex;2223.00;9.80;1455.00;2.03;0
2;industrial_complex;2227.00;9.80;1481.00;5.05;0
2;industrial_complex;2231.00;9.80;1462.00;6.25;0
2;industrial_complex;2220.00;9.80;1464.00;4.09;0
2;industrial_complex;2225.00;9.80;1474.00;0.47;0
2;air_base;2227.00;9.80;1469.00;2.04;0
2;bunker;2226.00;9.80;1470.00;4.70;0
2;bunker;2230.00;9.80;1481.00;2.54;0
2;bunker;2222.00;9.80;1465.00;3.74;0
2;bunker;2219.00;9.80;1454.00;0.48;0
2;bunker;2223.00;9.80;1476.00;3.14;0
2;bunker;2231.00;9.80;1450.00;5.81;0
2;bunker;2225.00;9.80;1479.00;2.54;0
2;bunker;2231.00;9.80;1466.00;5.21;0
2;bunker;2237.00;9.80;1469.00;1.59;0
2;bunker;2226.00;9.80;1458.00;4.25;0
2;bunker;2225.00;9.80;1453.00;0.99;0
2;bunker;2236.00;9.80;1475.00;3.66;0
2;bunker;2224.00;9.80;1473.00;0.04;0
2;bunker;2232.00;9.80;1476.00;2.70;0
2;bunker;2231.00;9.80;1459.00;5.72;0
2;anti_air_building;2230.00;9.80;1460.00;0.64;0
2;anti_air_building;2234.00;9.80;1478.00;4.76;0
2;anti_air_building;2230.00;9.80;1462.00;2.61;0
2;synthetic_refinery;2231.00;9.80;1464.00;2.71;0
2;fuel_silo;2225.00;9.80;1474.00;0.55;0
2;radar_station;2227.00;9.80;1466.00;4.52;0
2;rocket_site;2225.00;9.80;1470.00;4.77;0
2;nuclear_reactor;2229.00;9.80;1456.00;1.16;0
3;arms_factory;2249.00;10.78;1485.00;5.74;0
3;arms_factory;2259.00;16.77;1493.00;3.58;0
3;arms_factory;2253.00;10.43;1481.00;5.14;0
3;arms_factory;2253.00;18.38;1493.00;1.52;0
